,Q1,Q2,Q3,Q14,region
233,21,1,44,1,3
232,22,1,22,1,1
213,47,1,8,1,3
912,38,1,14,1,2
201,62,2,10,1,3
229,48,2,44,1,3
1787,50,1,29,1,4
228,37,2,5,1,4
203,54,1,21,1,3
224,46,1,10,1,3
1766,49,2,3,1,4
916,28,1,47,1,3
237,69,1,33,1,1
1769,38,2,5,1,4
929,36,1,15,1,2
1770,66,1,3,1,4
899,31,2,31,1,1
1784,51,1,5,1,4
917,32,1,41,1,3
1197,60,1,31,1,1
1773,34,1,6,1,4
920,33,1,41,1,3
208,38,2,47,1,3
926,28,1,37,1,3
921,38,1,44,1,3
1775,60,1,5,1,4
212,22,1,31,1,1
220,37,2,10,1,3
910,32,1,47,1,3
231,22,2,30,1,1
907,21,1,34,1,3
901,30,2,33,1,1
1207,40,2,33,1,1
1206,24,2,1,1,3
1797,43,1,5,1,4
1790,30,1,5,1,4
903,36,2,16,1,2
935,38,1,36,1,2
1169,53,1,31,1,1
1739,22,2,10,1,3
1800,53,2,5,1,4
252,57,1,33,1,1
196,68,2,5,1,4
933,31,1,44,1,3
254,62,1,10,1,3
1753,51,1,44,1,3
1205,54,2,26,1,2
932,24,1,19,1,3
1747,51,1,34,1,3
249,66,2,48,1,4
905,35,1,25,1,3
253,32,1,51,1,4
940,38,2,47,1,3
